pubchem id,common name,flavor profile
8918,Nonyl Acetate,"{'clean', 'sweet', 'green', 'waxy', 'tropical', 'gardenia', 'bitter', 'soapy', 'fruity', 'fruit'}"
9016,"1,4-Dimethoxybenzene","{'sweet', 'green', 'new mown hay', 'bitter', 'fennel'}"
9017,Citronellyl acetate,"{'citrus', 'fruit', 'rose', 'green', 'lemon', 'tropical', 'floral', 'fruity', 'dust', 'woody'}"
9064,Cianidanol,{'bitter'}
9256,Thiazole,"{'meaty', 'nutty', 'pyridine'}"
9261,Pyrazine,"{'hazelnut', 'sweet corn', 'barley', 'roasted', 'pungent'}"
9589,3-Acetylpyridine,"{'popcorn', 'sweet', 'hawthorn', 'phenolic', 'nutty', 'dry', 'woody'}"
9609,Diethyl sulfide,"{'sulfurous', 'ethereal'}"
9862,6-Methyl-5-Hepten-2-One,"{'citrus', 'hazelnut', 'musty', 'green', 'apple', 'lemongrass', 'nutty', 'pepper', 'bitter', 'mushroom', 'rubber'}"
9895,beta-Cyclocitral,"{'clean', 'sweet', 'tropical', 'mint', 'damascone', 'tobacco', 'minty', 'rose oxide', 'fruity', 'saffron', 'herbal'}"
10341,2(5H)-Furanone,{'buttery'}
10362,Carvomenthone,"{'minty', 'spearmint', 'herbal'}"
10393,2-(4-Hydroxyphenyl)ethanol,"{'sweet', 'mild', 'floral', 'fruity'}"
10402,Citronellic acid,"{'green', 'fatty', 'smoky', 'floral', 'grassy'}"
10430,Isovaleric Acid,"{'feet', 'sweat', 'tropical', 'cheese', 'acid', 'sweaty', 'rancid', 'animal', 'sour', 'stinky'}"
10448,3-methylthiopropanol,"{'soup', 'onion', 'sweet', 'vegetable', 'potato', 'sulfurous'}"
10558,Isobutyl mercaptan,"{'vegetable', 'cooked', 'mustard'}"
10582,Myrtenol,"{'medical', 'sweet', 'mint', 'balsam', 'pine', 'woody'}"
10795,"1,1-Dimethoxyethane","{'alcohol', 'green', 'sweet', 'new mown hay', 'sharp', 'ether'}"
10797,2-Methylfuran,"{'acetone', 'chocolate', 'ethereal'}"
